DR_NO,Date Rptd,DATE OCC,TIME OCC,AREANAME,Rpt Dist No,crime type,Vict Age,Vict Sex,Vict Descent,Premis Desc,Weapon Desc,Status,Status Desc,LOCATION,Cross Street,Latitude,Longitude
200116162,8/10/2020 0:00,8/9/2020 0:00,1800,Central,148,vandalism - felony ,51,M,H,"vehicle, passenger/truck",,IC,Invest Cont,600 e 4th st,,34.044,-118.24
200318856,10/14/2020 0:00,10/12/2020 0:00,1830,Southwest,354,vandalism - misdeameanor ,41,F,H,"vehicle, passenger/truck",,IC,Invest Cont,3500 5th av,,34.0239,-118.3224
200619467,12/20/2020 0:00,12/20/2020 0:00,100,Hollywood,646,battery - simple assault,31,M,H,hotel,strong-arm ,IC,Invest Cont,6700 w sunset bl,,34.098,-118.3365
200505238,1/23/2020 0:00,1/23/2020 0:00,1800,Harbor,521,brandish weapon,9,X,X,single family dwelling,other knife,AO,Adult Other,1800 bolker pl,,33.7618,-118.2965
201005305,1/31/2020 0:00,1/30/2020 0:00,1920,West Valley,1003,vehicle - attempt stolen,39,F,H,parking lot,,IC,Invest Cont,7900 reseda bl,,34.2148,-118.5404
200807831,3/29/2020 0:00,3/29/2020 0:00,2250,West LA,833,robbery,0,X,X,other business,strong-arm ,IC,Invest Cont,1300 westwood bl,,34.057,-118.4428
200315439,8/8/2020 0:00,8/8/2020 0:00,1750,Southwest,375,shoplifting - petty theft ,19,X,X,other business,,IC,Invest Cont,2000 w martin luther king jr bl,,34.0146,-118.313
200115619,7/30/2020 0:00,7/30/2020 0:00,2030,Central,148,robbery,68,M,B,other premise,unknown weapon/other weapon,IC,Invest Cont,400 towne av,,34.0441,-118.241
200911643,6/27/2020 0:00,6/26/2020 0:00,2330,Van Nuys,964,vehicle - stolen,0,,,street,,IC,Invest Cont,4900 mammoth av,,34.1599,-118.4324
201013688,10/2/2020 0:00,10/1/2020 0:00,2200,West Valley,1065,burglary from vehicle,26,M,W,garage/carport,,IC,Invest Cont,5200 zelzah av,,34.1654,-118.522
200116056,8/8/2020 0:00,8/7/2020 0:00,1700,Central,195,burglary from vehicle,67,F,B,street,,IC,Invest Cont,1300 s hill st,,34.0372,-118.2625
201009739,6/6/2020 0:00,6/6/2020 0:00,915,West Valley,1063,theft from motor vehicle - petty ,0,,,parking lot,,IC,Invest Cont,5400 yolanda av,,34.1689,-118.5407
201110635,6/20/2020 0:00,6/17/2020 0:00,100,Northeast,1112,bike - stolen,32,M,W,single family dwelling,,IC,Invest Cont,3200 s shasta cir,,34.1294,-118.2326
200313840,7/7/2020 0:00,7/7/2020 0:00,1525,Southwest,328,battery with sexual contact,33,F,H,mta bus,strong-arm ,IC,Invest Cont,figueroa st,JEFFERSON                    BL,34.022,-118.28
200918532,12/17/2020 0:00,12/16/2020 0:00,1800,Van Nuys,964,burglary,68,M,W,garage/carport,,IC,Invest Cont,5100 ranchito av,,34.1633,-118.4356
200115272,7/23/2020 0:00,7/23/2020 0:00,1038,Central,182,trespassing,43,M,H,other business,,IC,Invest Cont,1000 s olive st,,34.042,-118.2599
200411573,8/8/2020 0:00,8/8/2020 0:00,920,Hollenbeck,418,robbery,30,M,W,vacant lot,strong-arm ,IC,Invest Cont,3900 e locke av,,34.0918,-118.1783
200915676,10/8/2020 0:00,10/8/2020 0:00,1520,Van Nuys,901,vandalism - felony ,26,F,H,other business,,IC,Invest Cont,15300 sherman wy,,34.2012,-118.4725
200411396,8/2/2020 0:00,8/2/2020 0:00,1855,Hollenbeck,449,criminal threats - no weapon displayed,57,F,H,single family dwelling,strong-arm ,AO,Adult Other,2700 marengo st,,34.0545,-118.195
201011978,8/13/2020 0:00,7/15/2020 0:00,700,West Valley,1008,sex offender registrant out of compliance,0,F,X,single family dwelling,,AA,Adult Arrest,8100 n balboa pl,,34.2179,-118.5014
201109106,5/7/2020 0:00,5/6/2020 0:00,1905,Northeast,1125,vandalism - misdeameanor ,60,M,W,single family dwelling,,AO,Adult Other,1500 n avenue 46,,34.1232,-118.216
200713160,8/25/2020 0:00,8/23/2020 0:00,1900,Wilshire,722,battery - simple assault,26,M,B,restaurant/fast food,strong-arm ,IC,Invest Cont,8400 w 3rd st,,34.073,-118.3732
200213393,8/6/2020 0:00,8/5/2020 0:00,1700,Rampart,281,vehicle - stolen,0,,,street,,IC,Invest Cont,11th st,ALVARADO                     ST,34.0503,-118.2808
200411286,7/29/2020 0:00,7/26/2020 0:00,2300,Hollenbeck,439,vehicle - stolen,0,,,street,,IC,Invest Cont,borland rd,BLOCK                        PL,34.0727,-118.1701
200609545,4/26/2020 0:00,4/26/2020 0:00,100,Hollywood,631,battery - simple assault,29,F,H,single family dwelling,strong-arm ,IC,Invest Cont,8800 evanview dr,,34.1002,-118.3805
201113098,8/31/2020 0:00,8/24/2020 0:00,1910,Northeast,1148,theft of identity,35,F,O,single family dwelling,,IC,Invest Cont,700 quail dr,,34.1045,-118.2125
200413759,10/13/2020 0:00,10/13/2020 0:00,1130,Hollenbeck,448,theft from motor vehicle - petty ,0,,,parking lot,,IC,Invest Cont,1300 vanegas ln,,34.057,-118.1938
200911382,6/22/2020 0:00,6/22/2020 0:00,345,Van Nuys,939,"assault with deadly weapon, aggravated assault",22,M,H,restaurant/fast food,unknown weapon/other weapon,IC,Invest Cont,12900 victory bl,,34.1867,-118.4137
200618588,11/27/2020 0:00,11/27/2020 0:00,1,Hollywood,666,battery - simple assault,50,F,W,single family dwelling,strong-arm ,AO,Adult Other,1300 wilcox av,,34.0943,-118.331
200514574,9/27/2020 0:00,9/27/2020 0:00,1300,Harbor,555,violation of restraining order,42,M,H,single family dwelling,verbal threat,AA,Adult Arrest,500 bonita st,,33.7478,-118.29
200811879,7/15/2020 0:00,7/15/2020 0:00,940,West LA,857,shoplifting - petty theft ,0,X,X,market,,IC,Invest Cont,9600 w pico bl,,34.0551,-118.3984
200115952,8/5/2020 0:00,8/5/2020 0:00,1400,Central,192,human trafficking - involuntary servitude,15,F,H,parking lot,unknown weapon/other weapon,IC,Invest Cont,1300 s grand av,,34.0384,-118.2646
200300761,8/7/2020 0:00,8/7/2020 0:00,1555,Southwest,393,brandish weapon,28,F,B,street,folding knife,IC,Invest Cont,43rd st,CRENSHAW                     BL,34.0056,-118.3333
200213377,8/5/2020 0:00,8/3/2020 0:00,1420,Rampart,249,burglary,0,X,X,multi-unit dwelling ,,IC,Invest Cont,600 st paul pl,,34.0542,-118.2611
